id,title,compliance_score,created,author,contributors,graph_key,layer,source_slug,status,type
35,mempool message,71.43,2012-08-16,Jeff Garzik <jgarzik@exmulti.com>,"['Peter Todd', 'Luke Dashjr']",bips:35,Peer Services,bips,Final,Standards Track
36,Custom Services,86.21,2012-08-03,Stefan Thomas <justmoon@members.fsf.org>,"['Peter Todd', 'Wladimir J. van der Laan', 'Luke Dashjr', 'Janus']",bips:36,Peer Services,bips,Rejected,Standards Track
37,Connection Bloom filtering,86.21,2012-10-24,Mike Hearn <hearn@google.com> | Matt Corallo <bip37@bluematt.me>,"['Peter Todd', 'Pieter Wuille', 'Wladimir J. van der Laan', 'Jean-Pierre Rupp', 'Jonas Schnelli', 'Luke Dashjr', 'Matt Corallo']",bips:37,Peer Services,bips,Final,Standards Track
38,Passphrase-protected private key,86.21,2012-11-20,Mike Caldwell <mcaldwell@swipeclock.com> | Aaron Voisine <voisine@gmail.com>,"['Wladimir J. van der Laan', 'Aaron Voisine', 'MidnightLightning', 'Brooks Boyd', 'Telepatheic', 'Richard Moore', 'wozz', 'Daniel Cousens', 'Luke Dashjr', 'Luke-Jr']",bips:38,Applications,bips,Draft,Standards Track
39,Mnemonic code for generating deterministic keys,67.86,2013-09-10,Marek Palatinus <slush@satoshilabs.com> | Pavol Rusnak <stick@satoshilabs.com> | Aaron Voisine <voisine@gmail.com> | Sean Bowe <ewillbefull@gmail.com>,"['Peter Todd', 'Pavol Rusnak', 'slush0', 'Sean Bowe', 'Wladimir J. van der Laan', 'Jud Stephenson', 'christianlundkvist', 'Timothy Hobbs', 'Aaron Voisine', 'bip39jp', 'jurov', 'vstoykovbg', 'ThomasV', 'Thashiznets', 'UdjinM6', 'Nicolas Dorier', 'Luke Dashjr', 'Sjors Provoost', 'Sreekanth G S', 'Thomas Kerin', 'CikeQiu', 'evoskuil', 'Lawrence Nahum', 'MeshCollider', 'Izel Nakri', 'Logan Saether', 'Omar Shibli', 'yuzushioh', 'David Pennington', 'Petr Korolev', 'Lan, Haoxiang', 'Liu Pengpeng', 'Adam Rutkowski', 'Kevin Gislason', 'Bartosz Milczarek', 'Francisco Gindre', 'Lucien Nocelli']",bips:39,Applications,bips,Proposed,Standards Track
42,A finite monetary supply for Bitcoin,75.86,2014-04-01,Pieter Wuille <pieter.wuille@gmail.com>,"['Pieter Wuille', 'Wladimir J. van der Laan', 'Luke Dashjr']",bips:42,Consensus (soft fork),bips,Final,Standards Track
43,Purpose Field for Deterministic Wallets,71.43,2014-04-24,Marek Palatinus <slush@satoshilabs.com> | Pavol Rusnak <stick@satoshilabs.com>,"['slush0', 'Pavol Rusnak', 'Andreas Schildbach', 'Luke Dashjr', 'Janus']",bips:43,Applications,bips,Final,Informational
44,Multi-Account Hierarchy for Deterministic Wallets,67.86,2014-04-24,Marek Palatinus <slush@satoshilabs.com> | Pavol Rusnak <stick@satoshilabs.com>,"['slush0', 'Pavol Rusnak', 'e4xit', 'Giannis Dzegoutanis', 'Perlover', 'Wladimir J. van der Laan', 'Rob Johnson', 'Kefkius', 'XBTdev', 'Luke Dashjr', 'Dan Gershony', 'Michael Rotarius', 'Nikos Baxevanis', 'Viktor Radchenko', 'Torkel Rogstad']",bips:44,Applications,bips,Proposed,Standards Track
45,Structure for Deterministic P2SH Multisignature Wallets,67.86,2014-04-25,Manuel Araoz <manu@bitpay.com> | Ryan X. Charles <ryan@bitpay.com> | Matias Alejo Garcia <matias@bitpay.com>,"['Manuel Araoz', 'Manuel Aráoz', 'Luke Dashjr', 'MeshCollider', 'Russ', 'Sebastian Kippe', 'Clark Moody']",bips:45,Applications,bips,Proposed,Standards Track
47,Reusable Payment Codes for Hierarchical Deterministic Wallets,45.83,2015-04-24,Justus Ranvier <justus@openbitcoinprivacyproject.org>,"['Justus Ranvier', 'Michael Goldstein', 'T Dev D', 'Luke Dashjr', 'Luke-Jr', 'Leo Wandersleb', 'MeshCollider']",bips:47,Applications,bips,Draft,Informational
49,Derivation scheme for P2WPKH-nested-in-P2SH based accounts,82.76,2016-05-19,Daniel Weigl <DanielWeigl@gmx.at>,"['Luke Dashjr', 'Daniel Weigl', 'zylstra', 'Torkel Rogstad', 'Clark Moody', 'DanielWeigl', 'Nima Yazdanmehr']",bips:49,Applications,bips,Final,Informational
50,March 2013 Chain Fork Post-Mortem,72.41,2013-03-20,Gavin Andresen <gavinandresen@gmail.com>,"['Peter Todd', 'Wladimir J. van der Laan', 'Luke Dashjr', 'Thomas Kerin', '฿tcDrak', 'Luke-Jr']",bips:50,,bips,Final,Informational
60,"Fixed Length ""version"" Message (Relay-Transactions Field)",86.21,2013-06-16,Amir Taaki <genjix@riseup.net>,"['Peter Todd', 'Wladimir J. van der Laan', 'Luke Dashjr']",bips:60,Peer Services,bips,Draft,Standards Track
61,Reject P2P message,71.43,2014-06-18,Gavin Andresen <gavinandresen@gmail.com>,"['Gavin Andresen', 'Nicolas Dorier', 'Luke Dashjr', 'Varunram']",bips:61,Peer Services,bips,Final,Standards Track
62,Dealing with malleability,62.5,2014-03-12,Pieter Wuille <pieter.wuille@gmail.com>,"['Pieter Wuille', 'Wladimir J. van der Laan', 'Andy Alness', 'Peter Todd', 'Douglas Roark', 'Luke Dashjr']",bips:62,Consensus (soft fork),bips,Withdrawn,Standards Track
64,getutxo message,71.43,2014-06-10,Mike Hearn <hearn@vinumeris.com>,"['Mike Hearn', 'Luke Dashjr', 'Janus']",bips:64,Peer Services,bips,Obsolete,Standards Track
65,OP_CHECKLOCKTIMEVERIFY,82.76,2014-10-01,Peter Todd <pete@petertodd.org>,"['Peter Todd', 'Ryan Shea', 'jl2012', 'Wladimir J. van der Laan', 'mruddy', 'BtcDrak', 'Luke-Jr', 'Daniel Cousens', 'Luke Dashjr', 'MeshCollider', 'MMGen', 'zaq1tomo']",bips:65,Consensus (soft fork),bips,Final,Standards Track
66,Strict DER signatures,86.21,2015-01-10,Pieter Wuille <pieter.wuille@gmail.com>,"['Pieter Wuille', 'David A. Harding', 'todu', 'Daniel Cousens', 'Luke Dashjr', 'comboy']",bips:66,Consensus (soft fork),bips,Final,Standards Track
67,Deterministic Pay-to-script-hash multi-signature addresses through public key sorting,82.76,2015-02-08,Thomas Kerin <me@thomaskerin.io> | Jean-Pierre Rupp <root@haskoin.com> | Ruben de Vries <ruben@rubensayshi.com>,"['Thomas Kerin', 'Jeffrey C', 'Luke Dashjr', 'Ruben de Vries', 'Ferdinando M. Ametrano']",bips:67,Applications,bips,Proposed,Standards Track
68,Relative lock-time using consensus-enforced sequence numbers,67.86,2015-05-28,Mark Friedenbach <mark@friedenbach.org> | BtcDrak <btcdrak@gmail.com> | Nicolas Dorier <nicolas.dorier@gmail.com> | kinoshitajona <kinoshitajona@gmail.com>,"['Mark Friedenbach', 'BtcDrak', 'Olaoluwa Osuntokun', 'Alex Morcos', 'Chris Moore', 'jl2012', 'Luke Dashjr']",bips:68,Consensus (soft fork),bips,Final,Standards Track
69,Lexicographical Indexing of Transaction Inputs and Outputs,86.21,2015-06-12,Kristov Atlas <kristov@openbitcoinprivacyproject.org>,"['Kristov Atlas', 'Daniel Cousens', 'MarcoFalke', 'tx', 'Luke Dashjr', 'Sjors Provoost', 'azuchi', 'Gigi']",bips:69,Applications,bips,Proposed,Informational
70,Payment Protocol,67.86,2013-07-29,Gavin Andresen <gavinandresen@gmail.com> | Mike Hearn <mhearn@bitcoinfoundation.org>,"['Peter Todd', 'James Brotchie', 'Andreas Schildbach', 'Gavin Andresen', 'Jonathan Brown', 'David A. Harding', 'Wladimir J. van der Laan', 'Gregory Maxwell', 'Ross Nicoll', 'Andy Alness', 'Nicolas Dorier', 'Robbie Clarken', 'Derren Desouza', 'Amin Shah Gilani', 'Luke Dashjr']",bips:70,Applications,bips,Final,Standards Track
71,Payment Protocol MIME types,71.43,2013-07-29,Gavin Andresen <gavinandresen@gmail.com>,"['Peter Todd', 'Wladimir J. van der Laan', 'Gavin Andresen', 'Luke Dashjr']",bips:71,Applications,bips,Final,Standards Track
72,bitcoin: uri extensions for Payment Protocol,71.43,2013-07-29,Gavin Andresen <gavinandresen@gmail.com>,"['Peter Todd', 'Gavin Andresen', 'William Swanson', 'Wladimir J. van der Laan', 'Ross Nicoll', 'Luke Dashjr']",bips:72,Applications,bips,Final,Standards Track
73,"Use ""Accept"" header for response type negotiation with Payment Request URLs",67.86,2013-08-27,Stephen Pair <stephen@bitpay.com>,"['Peter Todd', 'Wladimir J. van der Laan', 'Luke Dashjr']",bips:73,Applications,bips,Final,Standards Track
74,Allow zero value OP_RETURN in Payment Protocol,86.21,2016-01-29,Toby Padilla <tobypadilla@gmail.com>,"['Toby Padilla', 'Luke Dashjr', 'Janus']",bips:74,Applications,bips,Rejected,Standards Track
75,Out of Band Address Exchange using Payment Protocol Encryption,79.31,2015-11-20,Justin Newton <justin@netki.com> | Matt David <mgd@mgddev.com> | Aaron Voisine <voisine@gmail.com> | James MacWhyte <macwhyte@gmail.com>,"['jmacwhyte', 'Matt David', 'Jonathan Cross', 'Luke Dashjr', 'MeshCollider']",bips:75,Applications,bips,Final,Standards Track
78,A Simple Payjoin Proposal,76.67,2019-05-01,Nicolas Dorier <nicolas.dorier@gmail.com>,"['nicolas.dorier', 'kiminuo']",bips:78,Applications,bips,Draft,Standards Track
79,Bustapay :: a practical coinjoin protocol,89.66,2018-10-05,Ryan Havar <rhavar@protonmail.com>,"['Ryan Havar', 'AdamISZ', 'Steve Lee', 'Luke Dashjr', 'Yahia Chiheb']",bips:79,Applications,bips,Replaced,Informational
80,Hierarchy for Non-Colored Voting Pool Deterministic Multisig Wallets,82.76,2014-08-11,Justus Ranvier <justus@opentransactions.org> | Jimmy Song <jimmy@monetas.net>,"['Justus Ranvier', 'Guilherme Salgado', 'Luke Dashjr', 'MeshCollider']",bips:80,,bips,Deferred,Informational
81,Hierarchy for Colored Voting Pool Deterministic Multisig Wallets,82.76,2014-08-11,Justus Ranvier <justus@opentransactions.org> | Jimmy Song <jimmy@monetas.net>,"['Justus Ranvier', 'Guilherme Salgado', 'Luke Dashjr', 'MeshCollider']",bips:81,,bips,Deferred,Informational
83,Dynamic Hierarchical Deterministic Key Trees,86.21,2015-11-16,Eric Lombrozo <eric@ciphrex.com>,"['Eric Lombrozo', 'Luke Dashjr', 'Janus']",bips:83,Applications,bips,Rejected,Standards Track
84,Derivation scheme for P2WPKH based accounts,82.76,2017-12-28,Pavol Rusnak <stick@satoshilabs.com>,"['Pavol Rusnak', 'Clark Moody']",bips:84,Applications,bips,Draft,Informational
85,Deterministic Entropy From BIP32 Keychains,93.1,2020-03-20,Ethan Kosakovsky <ethankosakovsky@protonmail.com>,"['Ethan Kosakovsky', 'azuchi', 'avirgovi', 'Luke Dashjr']",bips:85,Applications,bips,Draft,Informational
90,Buried Deployments,89.66,2016-11-08,Suhas Daftuar <sdaftuar@chaincode.com>,"['Suhas Daftuar', 'Luke Dashjr', 'Janus']",bips:90,,bips,Final,Informational
91,Reduced threshold Segwit MASF,86.21,2017-05-22,James Hilliard <james.hilliard1@gmail.com>,"['James Hilliard', 'shaolinfry']",bips:91,Consensus (soft fork),bips,Final,Standards Track
98,Fast Merkle Trees,89.66,2017-08-24,Mark Friedenbach <mark@friedenbach.org> | Kalle Alm <kalle.alm@gmail.com> | BtcDrak <btcdrak@gmail.com>,"['Karl-Johan Alm', 'Dan Gershony', 'Varunram Ganesh', 'Varunram']",bips:98,Consensus (soft fork),bips,Draft,Standards Track
99,Motivation and deployment of consensus rule changes ([soft/hard]forks),82.76,2015-06-20,Jorge Timón <jtimon@jtimon.cc>,"['Jorge Timón', 'instagibbs', 'Andy Chase', 'MarcoFalke', 'Luke Dashjr', 'MeshCollider', 'Janus']",bips:99,,bips,Rejected,Informational
100,Dynamic maximum block size by miner vote,86.21,2015-06-11,Jeff Garzik <jgarzik@gmail.com> | Tom Harding <tomh@thinlink.com> | Dagur Valberg Johannsson <dagurval@pvv.ntnu.no>,"['Jeff Garzik', 'Tom Harding', 'Luke Dashjr']",bips:100,Consensus (hard fork),bips,Rejected,Standards Track
101,Increase maximum block size,71.43,2015-06-22,Gavin Andresen <gavinandresen@gmail.com>,"['Gavin Andresen', 'Luke Dashjr']",bips:101,Consensus (hard fork),bips,Withdrawn,Standards Track
102,Block size increase to 2MB,71.43,2015-06-23,Jeff Garzik <jgarzik@gmail.com>,"['Jeff Garzik', 'Luke Dashjr']",bips:102,Consensus (hard fork),bips,Rejected,Standards Track
103,Block size following technological growth,86.21,2015-07-21,Pieter Wuille <pieter.wuille@gmail.com>,"['Jonathan Wilkins', 'Luke Dashjr', 'MeshCollider', 'MarcoFalke']",bips:103,Consensus (hard fork),bips,Withdrawn,Standards Track
104,'Block75' - Max block size like difficulty,86.21,2017-01-13,t.khan <teekhan42@gmail.com>,"['Luke Dashjr', 'Janus']",bips:104,Consensus (hard fork),bips,Rejected,Standards Track
105,Consensus based block size retargeting algorithm,86.21,2015-08-21,BtcDrak <btcdrak@gmail.com>,"['฿tcDrak', 'Luke Dashjr', 'Janus']",bips:105,Consensus (hard fork),bips,Rejected,Standards Track
106,Dynamically Controlled Bitcoin Block Size Max Cap,71.43,2015-08-24,Upal Chakraborty <bitcoin@upalc.com>,"['UpalChakraborty', 'Luke Dashjr', 'MeshCollider', 'Janus']",bips:106,Consensus (hard fork),bips,Rejected,Standards Track
107,Dynamic limit on the block size,86.21,2015-09-11,Washington Y. Sanchez <washington.sanchez@gmail.com>,"['Luke Dashjr', 'Dr Washington Sanchez', 'Janus']",bips:107,Consensus (hard fork),bips,Rejected,Standards Track
109,Two million byte size limit with sigop and sighash limits,82.76,2016-01-28,Gavin Andresen <gavinandresen@gmail.com>,"['Gavin Andresen', 'Luke Dashjr']",bips:109,Consensus (hard fork),bips,Rejected,Standards Track
111,NODE_BLOOM service bit,86.21,2015-08-20,Matt Corallo <bip111@bluematt.me> | Peter Todd <pete@petertodd.org>,"['Matt Corallo', 'Andy Chase', 'Luke Dashjr']",bips:111,Peer Services,bips,Proposed,Standards Track
112,CHECKSEQUENCEVERIFY,86.21,2015-08-10,BtcDrak <btcdrak@gmail.com> | Mark Friedenbach <mark@friedenbach.org> | Eric Lombrozo <elombrozo@gmail.com>,"['฿tcDrak', 'BtcDrak', 'Eric Lombrozo', 'Mark Friedenbach', 'Luke-Jr', 'jl2012', 'Luke Dashjr', 'paveljanik', 'Chris Moore', 'Johnson Lau', 'Federico Tenga']",bips:112,Consensus (soft fork),bips,Final,Standards Track
113,Median time-past as endpoint for lock-time calculations,82.76,2015-08-10,Thomas Kerin <me@thomaskerin.io> | Mark Friedenbach <mark@friedenbach.org>,"['฿tcDrak', 'Mark Friedenbach', 'Luke-Jr', 'Luke Dashjr', 'Alex Morcos', 'BtcDrak', 'jl2012']",bips:113,Consensus (soft fork),bips,Final,Standards Track
114,Merkelized Abstract Syntax Tree,86.21,2016-04-02,Johnson Lau <jl2012@xbt.hk>,"['Luke Dashjr', 'instagibbs', 'jl2012', 'Luke-Jr', 'Johnson Lau', 'Janus']",bips:114,Consensus (soft fork),bips,Rejected,Standards Track
115,Generic anti-replay protection using Script,86.21,2016-09-23,Luke Dashjr <luke+bip@dashjr.org>,"['Luke Dashjr', 'flack', 'Janus']",bips:115,Consensus (soft fork),bips,Rejected,Standards Track
116,MERKLEBRANCHVERIFY,89.66,2017-08-25,Mark Friedenbach <mark@friedenbach.org> | Kalle Alm <kalle.alm@gmail.com> | BtcDrak <btcdrak@gmail.com>,"['Karl-Johan Alm', 'Nicolas Dorier', 'Varunram']",bips:116,Consensus (soft fork),bips,Draft,Standards Track
117,Tail Call Execution Semantics,89.66,2017-08-25,Mark Friedenbach <mark@friedenbach.org> | Kalle Alm <kalle.alm@gmail.com> | BtcDrak <btcdrak@gmail.com>,"['Karl-Johan Alm', 'Mark Friedenbach', 'Varunram']",bips:117,Consensus (soft fork),bips,Draft,Standards Track
118,SIGHASH_NOINPUT,89.66,2017-02-28,Christian Decker <decker.christian@gmail.com>,"['Christian Decker', 'Erik Arvstedt', ""James O'Beirne""]",bips:118,Consensus (soft fork),bips,Draft,Standards Track
119,CHECKTEMPLATEVERIFY,86.21,2020-01-06,Jeremy Rubin <j@rubin.io>,"['Jeremy Rubin', 'MarcoFalke', 'Richard Kiss', 'Luke Dashjr', 'Tom Harding']",bips:119,Consensus (soft fork),bips,Draft,Standards Track
120,Proof of Payment,71.43,2015-07-28,Kalle Rosenbaum <kalle@rosenbaum.se>,"['Kalle Rosenbaum', 'Jonathan Cross', 'Luke Dashjr']",bips:120,Applications,bips,Withdrawn,Standards Track
121,Proof of Payment URI scheme,71.43,2015-07-27,Kalle Rosenbaum <kalle@rosenbaum.se>,"['Kalle Rosenbaum', 'Jonathan Cross', 'Luke Dashjr']",bips:121,Applications,bips,Withdrawn,Standards Track
122,URI scheme for Blockchain references / exploration,89.66,2015-08-29,Marco Pontello <marcopon@gmail.com>,"['Luke Dashjr', 'Marco Pontello', 'MarcoPon', 'Jonathan Cross']",bips:122,Applications,bips,Draft,Standards Track
123,BIP Classification,89.66,2015-08-26,Eric Lombrozo <elombrozo@gmail.com>,"['Eric Lombrozo', 'Luke Dashjr']",bips:123,,bips,Active,Process
124,Hierarchical Deterministic Script Templates,89.66,2015-11-20,Eric Lombrozo <eric@ciphrex.com> | William Swanson <swansontec@gmail.com>,"['Eric Lombrozo', 'Luke Dashjr', 'Janus']",bips:124,Applications,bips,Rejected,Informational
125,Opt-in Full Replace-by-Fee Signaling,82.76,2015-12-04,David A. Harding <dave@dtrt.org> | Peter Todd <pete@petertodd.org>,"['Luke Dashjr', 'Gregory Sanders', ""James O'Beirne"", 'David A. Harding']",bips:125,Applications,bips,Proposed,Standards Track
126,Best Practices for Heterogeneous Input Script Transactions,79.31,2016-02-10,Kristov Atlas <kristov@openbitcoinprivacyproject.org>,"['Justus Ranvier', 'Daniel Cousens', 'Kristov Atlas', 'Luke Dashjr']",bips:126,,bips,Draft,Informational
127,Simple Proof-of-Reserves Transactions,89.66,2019-01-28,Steven Roose <steven@stevenroose.org>,['Steven Roose'],bips:127,Applications,bips,Draft,Standards Track
130,sendheaders message,86.21,2015-05-08,Suhas Daftuar <sdaftuar@chaincode.com>,"['Suhas Daftuar', 'Luke Dashjr']",bips:130,Peer Services,bips,Proposed,Standards Track
131,"""Coalescing Transaction"" Specification (wildcard inputs)",82.76,2015-11-30,Chris Priest <cp368202@ohiou.edu>,"['Luke Dashjr', 'Chris Priest', 'Janus']",bips:131,Consensus (hard fork),bips,Rejected,Standards Track
132,Committee-based BIP Acceptance Process,86.21,2015-08-31,Andy Chase <theandychase@gmail.com>,['Luke Dashjr'],bips:132,,bips,Withdrawn,Process
133,feefilter message,89.66,2016-02-13,Alex Morcos <morcos@chaincode.com>,"['Alex Morcos', 'MarcoFalke', 'Luke Dashjr']",bips:133,Peer Services,bips,Draft,Standards Track
134,Flexible Transactions,82.76,2016-07-27,Tom Zander <tomz@freedommail.ch>,"['Luke Dashjr', 'TomZ', 'Janus']",bips:134,Consensus (hard fork),bips,Rejected,Standards Track
135,Generalized version bits voting,90.0,2017-03-29,Sancho Panza <sanch0panza@protonmail.com>,"['Luke Dashjr', 'sanch0panza', 'Janus']",bips:135,,bips,Rejected,Informational
136,Bech32 Encoded Tx Position References,82.76,2017-07-09,Велеслав <veleslav.bips@protonmail.com> | Jonas Schnelli <dev@jonasschnelli.ch> | Daniel Pape <dpape@dpape.com>,"['Велеслав', 'Daniel X. Pape']",bips:136,Applications,bips,Draft,Informational
137,Signatures of Messages using Private Keys,86.21,2019-02-16,Christopher Gilliard <christopher.gilliard@gmail.com>,"['cgilliard', 'Coding Enthusiast']",bips:137,Applications,bips,Final,Standards Track
140,Normalized TXID,86.21,2015-10-14,Christian Decker <decker.christian@gmail.com>,"['Luke Dashjr', 'MeshCollider', 'Janus']",bips:140,Consensus (soft fork),bips,Rejected,Standards Track
141,Segregated Witness (Consensus layer),86.21,2015-12-21,Eric Lombrozo <elombrozo@gmail.com> | Johnson Lau <jl2012@xbt.hk> | Pieter Wuille <pieter.wuille@gmail.com>,"['Luke Dashjr', 'Johnson Lau', 'Peter Todd', 'Luke-Jr', 'Gregory Sanders', 'Kirill Fomichev', 'Thomas Kerin', '฿tcDrak', 'Eric Lombrozo', 'jl2012', 'Aaron Voisine', 'Daniel Cousens', 'Wladimir J. van der Laan', 'Janus Troelsen', 'jonnynewbs', 'Pieter Wuille', 'danra', 'Jonathan Cross']",bips:141,Consensus (soft fork),bips,Final,Standards Track
142,Address Format for Segregated Witness,86.21,2015-12-24,Johnson Lau <jl2012@xbt.hk>,"['Luke Dashjr', 'Johnson Lau', 'Jonas Schnelli', 'Jorn Cruijsen', 'Luke-Jr', 'Thomas Kerin']",bips:142,Applications,bips,Withdrawn,Standards Track
